UTC_diff;phase;group;start_time;team_1;team_2
2;group;A;11-06-2021 21:00;Turkey;Italy
2;group;A;12-06-2021 15:00;Wales;Switzerland
2;group;B;12-06-2021 18:00;Denmark;Finland
2;group;B;12-06-2021 21:00;Belgium;Russia
2;group;D;13-06-2021 15:00;England;Croatia
2;group;C;13-06-2021 18:00;Austria;North Macedonia
2;group;C;13-06-2021 21:00;Netherlands;Ukraine
2;group;D;14-06-2021 15:00;Scotland;Czech Republic
2;group;E;14-06-2021 18:00;Poland;Slovakia
2;group;E;14-06-2021 21:00;Spain;Sweden
2;group;F;15-06-2021 18:00;Hungary;Portugal
2;group;F;15-06-2021 21:00;France;Germany
2;group;B;16-06-2021 15:00;Finland;Russia
2;group;A;16-06-2021 18:00;Turkey;Wales
2;group;A;16-06-2021 21:00;Italy;Switzerland
2;group;C;17-06-2021 15:00;Ukraine;North Macedonia
2;group;B;17-06-2021 18:00;Denmark;Belgium
2;group;C;17-06-2021 21:00;Netherlands;Austria
2;group;E;18-06-2021 15:00;Sweden;Slovakia
2;group;D;18-06-2021 18:00;Croatia;Czech Republic
2;group;D;18-06-2021 21:00;England;Scotland
2;group;F;19-06-2021 15:00;Hungary;France
2;group;F;19-06-2021 18:00;Portugal;Germany
2;group;E;19-06-2021 21:00;Spain;Poland
2;group;A;20-06-2021 18:00;Switzerland;Turkey
2;group;A;20-06-2021 18:00;Italy;Wales
2;group;C;21-06-2021 18:00;North Macedonia;Netherlands
2;group;C;21-06-2021 18:00;Ukraine;Austria
2;group;B;21-06-2021 21:00;Russia;Denmark
2;group;B;21-06-2021 21:00;Finland;Belgium
2;group;D;22-06-2021 21:00;Croatia;Scotland
2;group;D;22-06-2021 21:00;Czech Republic;England
2;group;E;23-06-2021 18:00;Sweden;Poland
2;group;E;23-06-2021 18:00;Slovakia;Spain
2;group;F;23-06-2021 21:00;Portugal;France
2;group;F;23-06-2021 21:00;Germany;Hungary
